감정_대분류	문장
5	십 년 넘게 친하게 지냈던 친구가 내 남자 친구랑 몰래 만나고 있었어.변명만 늘어놓더라고. 이미 두 사람 모두에게 정이 떨어져서 두 번 다시는 보고 싶지도 듣고 싶지도 않아.응. 사과보다는 변명에 가까운 이야기였어. 나는 당분간 사람을 믿지 못할 것 같아.
5	오늘 엄청나게 친한 친구랑 싸웠는데 답답하다.친구랑 오해가 생긴 것 같아 나는 그런 의도가 아니었는데 오해를 받았어.나는 차분하게 대화를 하며 서로의 생각을 나눠보려 해.
3	내 친구들은 하나 둘씩 다 취업하는데 왜 나만 방에서 이러고 있는 걸까.이제는 서류조차 자주 떨어지니까 자존감 떨어져서 넣기도 무서워.나랑 비슷한 처지의 사람들과 이야기를 해보기로 했어.
5	아버지가 옥살이를 하셔서 나 혼자 집을 돌봤어.어머니는 일하러 나가셔.
3	남자친구 어머니는 내가 정말 싫은가 봐. 너무 슬퍼.그렇게 사정했는데도 남자친구 몰래 나한테 연락을 해서 그만 만나라고 하시는 거야.만나서 다시 한번 잘 말씀드려 봐야겠어.
3	주변에 취업얘기뿐인데 정작 나는 간절한 꿈도 없어서 무기력해.취업이 내가 가장 간절히 원하는 꿈이 된다면 의욕이 생길까?일차적으로 취업을 목표로 잡아두고 작은 것부터 하나하나 성취해 나가볼까 해.
5	내가 주사 맞는 걸 무서워하는걸 보고 간호사가 아줌마가 무서울 것도 많다며 상처를 줬어.엄연히 내가 고객이고 무서워하는 건 사람에 따라 다른 건데 나이로 꾸중을 받은 것 같아서 화가 나네.카운터에 가서 컴플레인을 걸고 확실하게 의사전달을 해야겠어.
3	언제부턴가 아내는 자식 얘기만 꺼내면 무조건 자식 편만 드네.나이 먹는 것도 서러운데 점점 외톨이가 되어가는 것 같아. 자식들도 엄마를 더 좋아하고. 이런 상황이 너무 슬프네.아내에게 이런 내 마음을 얘기하려고. 그럼 예전처럼 다시 좋아지지 않을까 해.
5	얼마 전에 수술을 해서 병원에 입원 중이어서 답답한데 가족들은 병원에 잘 오지도 않고 데리고 나가줄 사람이 없네.사실 인생 헛살았나 싶어. 내가 혼자 병원에 있는데도 가족들이 무관심한 게 참 서러워.계모임 친구들한테 혹시 와줄 수 있는지 물어보려고. 우리 집 남자들 욕이라도 실컷 하면 좋겠어.
5	엄마가 핸드폰 사주기로 약속했는데 이번 시험을 잘 봐야 사준다고 말을 바꿨어.엄마한테 완전 배신감을 느꼈어. 엄마는 말 바꾸기 선수야.엄마에게 약속했으면 지켜달라고 이야기해 봐야겠어.
5	코로나로 인해 비상 근무체제로 돌입하기로 했는데 팀장님이 나를 지목하셨어. 뭔가 희생된 기분이야.주말에 출근해서 일하면 월요일에 대체 휴무를 준다고 했어. 안 그래도 월요병이 힘들었는데 더 좋은 것 같기도 해.
5	남들은 연애를 잘하는데 나만 버려진 느낌이야.나도 이성을 만날 수 있겠지?친구들이 소개팅을 시켜준다고 하긴 했어.
5	같이 회사생활 시작한 직원하고 모아놓은 돈에 관해서 얘기했는데 완전 충격받았어.나보다 거의 두 배 가까운 돈을 모았더라고. 나도 투자 방법을 바꿔야 하나?
5	결혼 준비가 정말 힘들어.친정이랑 시댁 의견이 다를 때 어떻게 해야 할지 모르겠어. 모두를 만족시킬 순 없나 봐.
3	여자 친구와 함께 슬픈 영화를 감상했어. 우리의 미래가 상상돼서 슬퍼.함께 늙어갈 텐데 같이 추억할 여행을 다녀오려고 생각했어.나중을 위해서 추억 여행을 다녀오자고 얘기해보려고.이렇게 다닐 수 있는 것도 다 한때니까 나중에 다니지 못할 때 지금을 추억하며 살아갈 수 있겠지.
3	수능이 다가오니 후회가 돼.공부를 좀 해놓을 걸 그랬어.
5	처음 회사에 취직했을 때는 너무 좋았는데 지금은 생각이 많이 달라졌어.일이 너무 많아. 가만히 생각해보면 반평생을 회사에서 희생당하는 기분이 든단 말이야.내가 할 수 없는 업무까지 상사가 나한테 맡기는 게 너무 힘들어.
5	진짜 나에게 어떻게 그럴 수 있어? 내가 그 친구를 얼마나 믿었는데!내 사람이라고 생각했던 친구가 나를 배신했어.
3	젊은 직원들이 나를 말이 통하지 않는 기성세대라고 생각하는 것 같아서 너무 속상해.오늘 같이 회의하던 중에 내가 얘기할 때만 서로 눈치 보고 조용해지더라고 난 잘해보고 싶은데 쉽지 않네.회식 같은 곳에서 직원들과 대화하며 어울릴 수 있는 시간을 많이 가져야겠어.
5	내가 친구들한테 맞고 쓰러져서 울고 있는 데도 아무도 나한테 괜찮냐고 묻는 사람이 없었어. 정말 비참해.평생 난 혼자일 것 같은 생각이 들어 자꾸 눈물이 나.아무 생각이 안나. 방법이 없을 것만 같아.
3	애인이랑 싸우고 핸드폰만 보는데. 답장이나 연락이 하나도 안 와. 슬퍼.자기도 잘못했으면서 얘는 왜 이러는 걸까. 원망도 돼.애인을 만나서 화해를 해봐야겠어.
5	나 요즘 소외감 들어.엄마가 나보다 동생을 더 예뻐하는 것 같아서 소외감이 들더라고.엄마랑 같이 대화해볼 거야.
5	나 너무 힘들고 스트레스받아.아픈 아버지를 대신해서 일자리에 나가고 있어.
3	내가 너무 한심스러워.믿었던 친구한테 돈 좀 빌려 달랬더니 거절하네.덕분에 친구관계에 대한 사고와 가치관을 바꿀 수 있는 기회가 되었어.
3	왜 진작에 내 재정 상태를 꼼꼼히 살펴보지 않았을까.말도 마. 이대로라면 노후에 백만 원으로 한 달을 살아야 할 판이야.
5	난 난청이 있는데 그걸 이용해서 은행에서 날 위험 펀드에 가입시켰어. 너무 화나.무시 당한 것 같아 기분이 너무 안 좋아.일단 친구에게 이 사실을 털어놔야겠어. 말하고 나면 짐이 덜어지는 기분이거든.
3	아빠가 음주운전을 해서 실망스러워.나중에 큰 사고라도 날까 걱정이야.아빠와 일단 대화를 해보는 게 좋을 것 같아.
5	요즘 직장에서 버려진 기분이 들어.승진은 계속 안 되고 젊은 후배들이 주고받는 얘기도 통 못 알아듣겠고 일 처리도 느리다고 한 소리 들었어.유튜버 게임 얘기인데 나만 모르는 거 같더라고 그렇다고 대놓고 물어보기도 좀 그래서 슬쩍 나와 버렸지.
3	시험문제에 내가 공부한 게 하나도 안 나와서 성적이 안 좋을 거 같아.왜 나는 시험문제를 예상 못 할까? 나만 모르는 것 같아서 속상해져.앞으로 선생님의 말씀에 더욱 집중을 해서 시험문제를 예상해봐야겠어.
3	그녀가 나를 떠나갔어. 눈물이 계속 나네.내가 세상에서 제일 사랑하는 사람이야. 그녀 없는 삶은 너무 막막해.산책이라도 하면서 생각을 정리해야 할 것 같아.
5	같이 시험을 본 친구는 합격했는데 나는 떨어졌어. 친구한테 질투가 나.기분이 우울하고 마음이 진정되질 않아. 어떻게 해야 하지?
5	대형 마트에서 아르바이트를 하고 있는데 어이없는 일을 당했어.고객의 아이가 울고 있어서 달래야 할 거 같다고 얘기를 했더니 화를 내면서 가는 거야.그런데 홈페이지에 내 이름과 함께 글을 나쁘게 올렸어. 억울한데 어디에 하소연할 데가 없어 힘드네.
3	나 오늘 선생님과 대학 입시 상담을 했어. 나의 모자람에 눈물이 나더라.가끔 성적이라는 벽에 한계를 느끼곤 해.대학 입시와 미래를 생각하면 성적에 부담을 많이 느껴.
5	돈이 뭐라고 이렇게 박탈감이 들까?열심히 돈을 모았는데 결혼하기에는 턱없이 부족한 것 같아. 나 결혼할 수 있을까?가난에 대해서 처음으로 불행하다고 느끼고 있어.
3	취업 준비를 삼 년이나 했는데 아직도 취업을 하지 못해 슬퍼.응. 지금까지 정말 열심히 준비했다고 생각하는데 뭐가 문제인지 모르겠어.내 문제점을 찾고 더 열심히 노력하는 수밖에 없겠어.취업한 선배들이나 친구들한테 전면적으로 점검을 받아야겠어.
5	대학교 동기에게 배신당한 느낌이 들어.그건 별로 말하고 싶지 않아.아직 없어. 조만간 동기에게 내 심정을 말해 볼 생각이야.
3	업무 중 화가 나서 동료에게 심한 말을 했어.지금은 마음이 불편해.그분을 어떻게 대해야 할지 고민이야. 후회하고 있어.
3	요즘 너무 바빠서 친구들과 만남도 어렵고 집에 퇴근해 들어오면 너무 쓸쓸하네늦은 시각이라 무언가를 배우는 것은 어려운 것 같아 그래서 혼자만의 시간을 즐길 수 있는 취미생활을 찾아볼까 해
3	오랫동안 친하게 지냈던 친구가 교통사고로 갑자기 죽었어. 시간이 꽤 지나도 슬퍼.그 일이 있고 난 뒤에 배드민턴을 안친 지 오래됐네. 내일은 배드민턴이라도 치러 나가봐야겠어.
3	유부남인 팀장이 나한테 데이트 신청을 하는데 환멸이 나.응. 그 팀장의 실체를 어떻게 밝힐지 고민 중이야.팀장 와이프한테 이 사실을 말해야겠어.
5	양보하는 게 그 친구를 위한 일이라고 생각했는데 친구는 나의 배려를 너무 당연하게 생각하는 것 같아. 고등학교 친구인데 나랑 정말 친한 친구야. 나한테 소중한 친구라서 내가 더 많이 배려한다고 생각하며 지냈어.
5	요즘 너무 무료하게 느껴져.그냥 나이가 들면 주변에 사람이 없어지는 것 같아.
3	요즘 삶이 무료해.지병 때문에 당분간 침대 위에서 안정을 취하는 것이 좋대.응. 움직이기가 힘드니까 사고가 마비되는 것 같아.
3	친구한테 정떨어졌어. 돈 빌리는 걸 너무 쉽게 알아.일정한 직업이 없는 친구인데 무슨 일 있을 때마다 나한테 돈을 빌려. 액수가 적은 돈도 아니고 부담이야.맞아. 진지하게 안 볼까도 생각 중이야.
5	몇 달 전 시댁에 임신 소식을 전한 이후로 기분이 너무 안 좋아.임신 소식을 듣고 나는 기쁜 마음으로 시댁에 소식을 전했는데 아들이 아니라는 이유로 시어머니로부터 좋지 않은 말을 들어서 너무 억울해.그날 내 마음을 눈치챈 남편이 집에 와서 마음을 위로해주었어.
3	이번 프레젠테이션 열심히 준비했는데 우리 팀이 제일 낮은 점수를 받았지 뭐야.응. 나뿐만 아니라 모든 팀원들이 불철주야로 정말 노력했거든.팀원들 사기도 돋울 겸 맛있는 음식이나 같이 먹으면 좋을 것 같아.
5	취직한 줄 알았던 아들이 알고 보니 백수였어. 오늘 피시방에서 놀고 있는 걸 발견했어.아들이 정신 차리게 만들어야겠어.우선 아들과 솔직하게 이야기를 나눠봐야겠어.
5	아직 이용 기간이 꽤 남았는데 다니던 헬스장이 부도가 나 문을 닫아버려서 속상해.피해자가 많지만 지금으로선 방법이 없어. 억울하지만 어쩌겠어. 걷기 운동이라도 해서 건강을 챙겨야지.
5	나는 신장이 안 좋아서 병원에 정기적으로 다니는데 남편은 병원에 다닐 일이 없어서 부러워.내가 더 건강 관리를 열심히 했는데도 왜 이렇게 됐는지 모르겠어.
3	내 건강이 무너져 내 맘도 무너진다.젊고 건강할 땐 세상 사람들 부럽지 않았어.병원에 다시 가 봐야지. 정말 내가 그 병에 걸렸는지 확진을 받아야겠어.
3	사랑하는 남자친구가 있는데 결혼 자금이 부족해서 올해는 결혼을 못 할 것 같아.다른 친구들은 다 결혼했는데 나만 못하는 것 같아서 너무 슬퍼.남자 친구 만나서 맛있는 것 먹고 와야지.
3	자녀들이 모두 대학교 기숙사 생활을 하다 보니 얼굴을 자주 보지 못하네.공부하느라 떨어져 지내니 어쩔 수 없지. 방학 때나 되어야 얼굴을 볼 수 있어.정 보고 싶으면 영상 통화라도 해야지.
3	어머니의 상태가 좋지 않다는 말에 순간 어머니의 손을 붙잡고 주저앉았어.어머니께 제대로 호강 한번 시켜 드린 적 없는데 너무 괴로워.지금부터라도 남은 시간 어머니께 해 드릴 수 있는 효도를 다 해드릴 거야.
5	난 은퇴 후에 조용한 시골에서 여유롭게 사는 게 좋은데 다 싫대.가족들에게 말을 했는데 다들 나 혼자 내려가서 살라고 했어. 정말 가족들에게서 고립된 기분이야.내가 열심히 설득해 봐야지.
5	반 친구들이 나를 따돌리니까 내 친구도 나를 멀리해서 너무 슬퍼.나랑 가장 친한 친구인데. 내가 뭘 잘못한 걸까?그래. 내가 먼저 자신 있게 다가가서 말을 걸어봐야겠어.
5	딸이 뺑소니를 당해서 죽었다는 말을 들었어. 너무 충격적이고 슬퍼.사고 그 자리에서 사망했다는데 가해자가 너무 원망스럽고 망하고 딸이 너무 불쌍해.가해자를 지구 끝까지 쫓아가서라도 죗값을 갚게 할 거야.
3	오늘은 아빠가 퇴근하고 늦게 집에 와서 힘들어 하는 모습을 봐서 걱정이 되었어.아빠가 그렇게 힘들어하는 모습은 처음 봤어. 나한테는 늘 든든한 아빠였는데.아빠는 나랑 등산하는 것을 좋아하니까 이번 주말에 등산 가자고 졸라야겠어.
3	올해도 한 살 더 먹었네. 나이 제한 때문에 지원 못 하는 곳이 늘어나니 슬프다.대체 나이가 얼마나 중요하다고 나이 제한을 두는지 정말 이해할 수 없어.눈을 낮춰서라도 빨리 취업을 해야겠어.
5	나 지금 망치로 머리를 한 대 얻어맞은 느낌이야.평소에 내가 싫어했던 선배 언니가 오늘부터 내 친오빠랑 사귀기로 했대. 친오빠가 그 언니와 만나지 않았으면 좋겠어.친오빠에게 그 언니의 어떤 점이 좋은지 물어봐야겠어. 내가 모르고 있었던 그 언니의 장점을 찾아볼 생각이야.
5	아내 형편을 생각해서 낙태 수술을 받았는데 아내가 너무 슬퍼해서 나도 힘들어.힘들어도 어쩔 수 없었어.아내를 위로해주고 앞으로 어떻게 이겨낼지 아내와 대화해야겠어.
5	오늘 병문안을 와서 산책시켜주기로 한 친구들이 아무도 오질 않아서 정말 배신당한 기분이야.친구들은 나를 별로 소중하게 생각하지 않는 것 같아.가족들에게 같이 산책하자고 전화해서 기분을 풀어야겠어.
3	어제 동창 인스타그램을 봤는데 다들 엄청 친해 보이더라. 나는 그렇게 사진 같이 찍을 친구가 없는데 말이야.사실 나도 친했었는데 내가 취업 준비한다고 약속 몇 번 안 나갔더니 자연스레 멀어지더라고. 그때 내가 약속 잘 나갔으면 이런 일이 없었을까?맞아 지금 와서 후회해봤자 바뀌는 것도 없는데 말이야. 그냥 내 삶에 집중하다 보면 친구는 다시 생기겠지?
3	믿었던 친구가 내 답안지를 베꼈어.슬프기도 하고 좀 얼떨떨해. 어떻게 해야 할까?일단 솔직하게 대화를 해 봐야겠어.
5	사랑하는 여자가 있는데 청혼을 못 하겠어.결혼은 현실이니까. 돈이 없어.가난한 상태로 결혼을 한다면 모두가 불우해질 거야.
3	이십 년 넘게 해오는 지금 내 직무는 내가 꿈꿔온 게 아니라 너무 답답하고 일에 환멸을 느껴.학창시절부터 꿈 꿔온 일과 정반대의 일을 하는데 직무를 바꿀 기회가 없었어. 너무 슬퍼.이십 년 넘게 해와서 직무를 바꾸고 신입부터 할 자신도 없어.
3	아이가 사고를 당했는데 사고를 당하고 무서워했을 모습을 생각하니 눈물이 멈추질 않아.어릴 때 생긴 트라우마는 큰 영향을 준다는데 너무 걱정돼.아이와 전문 심리 상담센터에 가봐야겠어.
3	반년 만에 아빠를 만나는데 비행기가 결항해서 못 오신대. 보고 싶었는데.아빠도 우리가 많이 보고 싶을 텐데. 아빠도 속상하겠다.통화를 더 자주 하고 사진을 보내주면 아빠가 좋아하실 거 같아.나와 동생이 상을 타서 찍었던 사진을 보면 더 좋아하실 것 같아.
3	최근 입시 미술 학원에 다니게 되었어. 그런데 열심히 배워도 뜻대로 안 되는 것 같고 내가 보내는 시간이 너무 허무해.입시를 떠나서 내가 원하는 그림을 그리면 행복할 것 같아.
5	아는 분이 사고로 갑자기 돌아가셨대.나는 주로 자신감을 북돋워 주는 말을 많이 해주려고 해. 남자친구가 자신감이 약간 부족하거든.그냥 미안하지. 고맙다는 말이라도 할걸.
5	업무가 과중한데 이 직무를 할 수 있는 사람이 나밖에 없어서 스트레스받아.다른 회사로 이직을 고민하고 있지만 지금 회사가 연봉 조건이 좋아서 어떻게 해야 할지 모르겠어.아무래도 내가 감당하는 업무량이 너무 과한 것 같아. 회사에 상담 요청 한 후에 이직을 다시 고려해봐야겠어.
3	돈이 없는 궁상맞은 생활에 지쳐.어떻게 해야 돈을 많이 벌 수 있을까?우선 내가 할 수 있는 돈벌이를 알아봐야겠어.
3	직장에서 가깝게 지내던 분이 퇴사했어.입사할 때부터 일을 가르쳐 주셨던 분인데 이제 혼자 일을 해 나가야 한다고 생각하니 막막해.
3	가끔 부모님이 언젠가는 나를 떠날 거라는 생각을 하면 슬퍼져.부모님이 안 계시고 혼자가 된다면 너무 외로울 것 같아.모든 것에 끝이 있다는 사실을 받아들이고 부모님에게 항상 잘해야겠지.
3	요새 몸이 안 좋아져서 병상에만 누워있어. 아무것도 안 하려니까 자꾸만 무기력해지고 우울해.티브이를 보는 것도 이제는 재미가 없어. 매일 똑같은 하루가 지겨워.뜨개질은 누워서도 할 수 있으니까 목도리를 뜨는 취미를 가져볼까 해.
3	이 집구석에서 더는 살기가 싫다.오늘도 아빠가 술 먹고 집에 와서 폭언했어. 너무 스트레스받아서 병에 걸릴 것 같아.아버지가 술이 깨시면 알코올 중독 치료센터를 데려가 보려고 해.
3	육십 평생을 건강하게 살아왔는데 내가 암 진단을 받은 게 말이 안 돼. 모르겠어. 일단 생각할 시간을 오래 가져야 할 것 같아. 
3	오늘 우연히 친구가 나에 대해서 흉보는 걸 들었어.내가 한 일이 아닌데 내가 한 것처럼 흉을 봤어.이제 그 애와의 관계는 끝이야. 끝.
3	나랑 같이 당구를 치던 친구가 얼마 전에 세상을 떠났어.늘 건강하다고 자신만만한 친구였는데 갑자기 암으로 세상을 떠난 거야.더 살아야 하는데 세상을 떠날 줄 생각지도 못해서 가슴이 미어진다네.
5	여자친구가 내 친구하고 더 연락을 많이 하는 거 같아.원래 둘이 먼저 친했고 친구가 여자친구를 나한테 소개해줬거든. 그래도 남자친구를 두고 너무하네.
3	여자친구와의 연애가 너무 힘들어서 눈물이 나.우리 아이의 그대로를 인정하고 사랑해줬으면 좋겠다고 말해야겠어.여자 친구와 이 문제에 대해서 이야기해 봐야겠어.
5	어린 시절부터 친했던 내가 좋아하는 친구가 날 괴롭히는 애들과 친하게 지내고 있어.대화가 잘 통하는 친구야. 내 친구가 나를 괴롭히는 친구들과 안 놀았으면 좋겠어.괴롭힘당했다는 사실을 말하고 나를 이해 해달하고 해야겠어.
5	다들 뭐가 그렇게 바쁜지 자식들이 우리 집에 와서도 안 자고 그냥 가네.응. 애들이 좋아하는 음식도 잔뜩 차려놨는데 매번 이러는군.그래도 애들은 부모 마음을 몰라주니 어떻게 하겠어. 부모는 평생 자식만 바라본다는 말이 맞나보군.
5	연말에 성과가 나왔는데 너무 좋지가 않네. 일 년 동안 시키는 업무는 다 했는데 말이야.부서장님과 면담은 했지만 큰 성과는 없었어. 이대로 있기에는 너무 억울해.
3	어젯밤에 아빠가 갑자기 심장마비로 돌아가셔서 너무 슬퍼.그동안 잘해드리지 못한 것만 생각이 나고 후회스러워.지금은 슬프지만 아빠를 잘 보내드리는 게 좋을 거 같아.
3	내가 왜 내 아이한테 공부하라고 했을까. 인제 와서 너무 후회된다.공부가 전부가 아닌데 걱정이라는 핑계로 아이한테 마음의 부담을 준 것 같네.
5	결혼 준비가 이렇게 힘들고 마음이 괴로울 줄은 생각도 못 했네.내 결혼인데 주변 집안의 사람들 눈치도 봐야 하니까 참 괴롭고 힘들어.
3	애 낳고 너무 우울해.산후우울증인가? 되게 우울해.우선 맛있는 걸 먹어봐야겠어.
5	나는 왜 이 나이가 되도록 세상 물정을 모르고 살까 참 한심해.난 늘 제자리걸음만 하는 것 같아서 아주 속상해.휴식을 가져야겠어. 차 타고 잠시 바람이라도 쐬어야지.
3	내가 친구의 얼굴을 그렸는데 이 그림을 친구가 싫어할까 봐 못 보여주겠어.내가 그림을 잘 그리는 편이 아니라서 더 걱정이 돼.그래도 열심히 그린 그림이니까 친구에게 꼭 보여주고 싶어.
5	어렵게 직장에 취업했는데 코로나 때문에 직장에서 유급휴가를 가라 해서 억울해. 만약에 회사에 잘리기라도 한다면 어떻게 해야 할까? 말이 유급휴가지 월급도 모두 받는 게 아니야.그냥 집에서 반려견과 함께 지내고 있어.
5	직장을 새로 옮겼는데 적응을 못하고 있어서 힘들어.전에 있던 직원이 업무에 대해 정확히 인계하지 않아서 매우 불편해.이미 그 직원은 퇴사했으니 답답해도 회사 매뉴얼보고 빨리 터득해야겠어.
3	엄마가 암이라는데도 신경 쓰지도 않는 자식들에게 실망스러워.어려운 형편에도 자식들 결혼할 때까지 다 키워놨는데 이제 와서 모른 척하다니 배신감이 커.그런 방법은 없어 보여. 그냥 나 혼자 쓸쓸하게 살다 가는 거지 뭐.
5	출장을 갔다 왔는데 아들은 내가 다녀온 줄도 모르고 나한테 관심도 없는 것 같아서 기분이 안 좋네.내가 뭘 하든 관심도 없고 신경도 안 쓰는 것 같아.아내와 시간을 보내면서 아들이 어떤 생각을 하고 있는지 알아봐야겠어.
3	건강 생각에 마비된 기분이야.건강이 갑자기 안 좋아졌어.
3	저번 주 남편이 심장마비로 갑자기 죽었는데 생전에 잘해주지 못한 것이 너무 후회되고 가슴 아파.후회하고 슬퍼하고만 있으면 죽은 남편에게 무슨 도움이 되겠어? 지금부터라도 마음을 굳게 먹고 씩씩하게 살아야겠어.
3	오늘 여자친구랑 헤어졌어.오늘은 너무 힘든 날이네. 처음엔 멍한 느낌이다가 이젠 계속 눈물만 나.응원해줘서 고마워.
3	정년퇴직 후 만성질환은 없지만, 대인관계를 걱정하고 있어.주변에 친구들이 없어서 우울해.나이를 먹으니 만날 사람이 없단 사실이 우울해지네.
5	아내는 내가 무슨 의견만 내놓으면 반대를 해서 오늘은 나도 모르게 손찌검을 했어.나 스스로에게 충격이고 미안했어. 어떻게 해야 아내에게 이런 내 마음을 전할까?내가 왜 그런 상황이 왔는지 얘기하고 지금의 내 마음을 그대로 전해야겠지.
3	직장동료는 어차피 퇴사하면 안 볼 사람들이라 친해질 필요는 없을 것 같아.부정적인 생각인 건 알지만 친했던 동료가 퇴사 후 연락이 끊긴 적이 있어서 슬펐거든.상대방이 내 마음과 같을 거라고 기대하는 마음을 버려야 할 것 같아.
3	아빠가 또 내 물건을 막 버렸어. 화가 나.자꾸 내 물건을 쓰레기인 줄 알고 버려. 말 좀 하고 버리라고 해도 소용이 없어. 
3	같은 반 친구가 따돌림을 당하고 있어.처음엔 힘들었는데 지속되다 보니 거기에 무감각해지고 있다는 게 더 무서워.선생님께 애기해 보려고 해.
3	퇴직을 권유받았어.어느 정도 예상은 했지만 앞으로 어떡하지?퇴직 후 삶을 생각하니 답답하네. 미리 다른 것들을 배워둘 걸 그랬나 봐.
3	솟아날 구멍은 있다는데 돈은 예외인가 봐.고민 정도가 아니야. 정말 심각해.전문가와 상담도 돈이 필요한 세상이지.
3	내 친구가 다른 친구한테 맞았대. 그 이야기를 듣고 그 자리에 주저앉아 버렸었어.둘 다 내 친구지만 그 둘은 서로 모르는 사이거든. 곤란한 상황이야.우선 내가 따로 만나서 각자 이야기를 들어본 뒤에 한 자리에서 같이 만나 화해하도록 돕는 게 좋겠어.어느 한 사람 편을 들기보다는 둘 다 원래 좋은 친구라고 알려줘야지.
3	나 친구한테 생일 선물 못 받아서 낙담 중이야. 기대했는데 마음이 상했어.생에 처음 받아보는 생일축하 파티를 해줬어.친구는 내 생일을 몰라. 상기시켜줘서 고마워.
3	회사 선배에게 업무에 대해 질문하면 그것도 모르냐면서 핀잔을 줘. 너무 속상해.속상하고 화가 나서 선배에게 대들고 싶어져.화가 나지만 선배에게 대드는 것은 잘못된 것 같아. 선배에게 속상하다고 말해야겠어.
3	여자친구가 평생 나에 대한 의심을 거두지 못할 것 같아서 슬퍼.다시는 숨기는 일이 없을 거라고 말했는데 믿지 못하는 것 같아.여자친구에게 진솔한 편지를 써서 내 마음을 전해야겠어.
3	부장이 괜히 트집을 잡는 것 같아.아무리 생각해도 잘 모르겠어.
5	가해자들을 고소할 수 없다니 말도 안 돼.나 정말 속상해.전문 상담 기관에 상담 요청을 신청해봐야겠어.
5	나 몸에 좋다고 홈쇼핑에서 광고한 크릴 오일을 샀는데 중금속이 많대. 홈쇼핑에 속았어. 믿고 살 만한 건강식품은 찾기가 어려워. 
3	결혼 삼 년 차인데 아내가 매일같이 잔소리만 해. 내가 아내랑 사는 것인지 엄마랑 사는 것인지 모르겠어. 내 물건 작은 것 하나만 사도 난리도 아니야.우리가 내 집 마련을 위해 대출받은 것이 있거든. 그래서 절약해야 하는 점이 있긴 해. 아내도 절약하니까 미래를 위해 나도 좀 노력을 해야겠다.
3	앞날이 막막해서 요즘 자꾸 눈물이 나.은퇴하고 다시 새로운 일을 시작할 수 없을 것 같아서 두려워.퇴사하고 새로운 일을 시작한 친구를 만나 보면 조언을 얻을 수 있을지도 몰라.
3	코로나로 나가지도 못하고 너무 답답해. 우울하기까지 해.어쩔 수 없는 일인데도 이렇게 우울감만 커지는 이 상황이 너무 답답해.집에서 기분 전환할 수 있는 걸 찾아야겠어. 인테리어를 바꿔볼까.
5	부모님이 남자 친구와의 결혼을 반대해서 너무 속상해.만나볼 생각도 안하고 무조건 반대만 하셔서 지금 기분이 안 좋아.남자 친구를 만나서 놀아야겠어. 누구라도 만나야지 기분이 나아질 거 같아.
5	항암 치료비에 보태기 위해 집을 팔 수도 있었지만 아들에게 물려줘야 해서 팔지 않았어.그렇긴 한데 병원에 치료비를 못 낼 때는 좀 슬프더라고.그래도 남은 가족이 먹고 살려면 집은 남겨둬야 했어.
5	친구들 때문에 힘들어.친하다고 생각하던 애들인데 나 빼고 셋이서만 놀러 갔더라고.지금까지 해왔던 것처럼 계속 희생하는 게 맞는 건지 모르겠어.
3	직장에서 상사가 나에게만 안 좋은 고과 점수를 줘서 너무 슬퍼.누가 뭐래도 나는 항상 남들보다 열심히 해왔다고 생각했는데 슬프네.그냥 이제 고과고 뭐고. 그냥 편하게 살까 봐. 이번 상사 밑에선 뭘 해도 안 될 것 같아.
3	저녁에 가족과 함께 주말 드라마를 봤어.내용이 너무 슬퍼 다들 울더라고 그런데 나만 감정이 마비되어 있나봐 슬프지가 않아.
3	내가 직장에서 비정상적인 사람 취급을 받는데 그 이유가 성소수자라는 게 정말 슬퍼.내가 좋아하는 같은 성별인 대리님께 용기내서 고백했는데 나를 다 비정상인 취급을 해서 눈물이 났어.응. 아직 대한민국의 성소수자에 대한 의식 수준이 낮아서 너무 안타깝고 슬퍼.
5	이번에 학회장 선거를 하는데 떨어졌어.분명히 나를 찍은 투표용지 같은데 조금 삐져나갔다고 무효표 처리를 해서 너무 억울해.
5	나도 부잣집 도련님으로 태어났다면 좋았을 뻔 했어.부잣집 친구 보니까 공부를 열심히 안해도 걱정이 없어. 난 가난해서 큰일이야.좋은 직업을 가져서 부자가 되도록 해야지.
5	아빠가 예전에 내가 태어났을 때 딸이어서 실망했다고 했어.너무 상처받았어. 내가 여자로 태어나고 싶어서 태어난 게 아닌데.아빠한테 앞으로는 그런 생각을 하지 말아 달라고 말씀드려야겠어.
5	엄마가 바람피우는 걸 봤어.아빠가 많이 속상해하실 것 같아 말씀을 못 드리겠어.
5	건강하게 잘만 지내던 고향 친구가 암에 걸렸다고 해서 굉장히 충격받았어. 정말 멀쩡해 보였는데 말이야.건강검진은 매번 받지. 이제는 그럴 나이가 됐으니까.
5	매번 나한테만 일을 떠넘기니 나만 바보가 된 것 같아.일을 잘하는지는 모르겠고 모든 일을 나한테만 시키는 것 같아.
3	얼마 전 아내와 싸움을 해서 마음이 우울하네.애들 문제로 서로 의견이 달라서 얘기하다가 언성이 높아져.집안이 며칠 동안 계속 우울해서 빨리 화해해야 할 것 같아.
3	내가 자식들에게 물려줄 것이 없다는 사실에 너무 힘들었어. 나만 너무 못난 엄마 같아서.자식들이 내가 이런 걸로 힘들어한 걸 알면 속상해할 텐데 자꾸 우울한 생각이 드네.산책 나가서 나무도 보고 좀 걸어야겠어. 집안에만 박혀있으니 더 그런 것 같아.
